symbol.keyword,ABOVE,ABOVE_1H,ABOVE_1H_BIG,ABOVE_1H_STAMP,btc_24h_now,BUY_H_NEGATIVE,BUY_H_POSITIVE,cmc_rank,condition,eth_24h_now,EXTREME_ABOVE,INDICATOR_1,INDICATOR_2,INDICATOR_3,INDICATOR_4,INDICATOR_5,INDICATOR_6,INDICATOR_7,INDICATOR_8,INDICATOR_9,INDICATOR_10,INDICATOR_11,JUST_CROSS_ABOVE,macd,macd_sline,macd_btc,macd_btc_sline,MACD_DAY_CURVED,MACD_DAY_NEGATIVE,MACD_DAY_POSITIVE,MACD_DAY_POSITIVE_BY_2,MACD_DAY_POSITIVE_EXTREME,market_count_15m,market_count_30m,market_count_now,outcome,pct.24h,pct.24h_8d.avg,percentiles_1,percentiles_5,percentiles_25,percentiles_50,percentiles_75,percentiles_95,percentiles_99,pnl,price_diff_change,price_diff_change_10h,price_diff_change_1d,ROC,roc_9d,roc_9d_btc,ROC_CURVED,ROC_CURVED_DAY_NEGATIVE,ROC_CURVED_DAY_POSITIVE,ROC_CURVED_HOUR_NEGATIVE,ROC_CURVED_HOUR_POSITIVE,ROC_CURVED_NOW,ROC_H,rsi,rsi_btc,RSI_CURVED,RSI_CURVED_H,RSI_DOWN_H,RSI_H,RSI_UP,STILL_ABOVE,tendancies_pct_down,tendancies_pct_up,track_candle_down_avg,track_candle_down_count,track_candle_up_avg,track_candle_up_count,volume_bybit_90d,volume_bybit_now,volume.90d.avg,volume.now,WHOLE_MARKET_CURVED,worked
ANKRUSDT,False,False,False,False,0.006116,False,False,172,version_shaile_v3_price_diff,-0.001055,False,False,False,False,False,False,False,False,True,True,True,False,True,-0.00318,-0.003268,-1555.638308,-956.853805,False,False,False,False,False,280,301,270,win,0.020302,0.0009883050105959545,0.030090350097666186,0.03656476018844949,0.04621346487106849,0.054600068426900066,0.05931775291760762,0.06418385100194385,0.06608552858233452,33.02346956,0.111969,0.000689,0.000689,False,-0.8455997494519196,-7.161542754592265,False,False,False,False,False,True,False,28.363047001620743,20.369031044894854,False,True,False,False,False,False,920.2962962962963,564.1428571428571,25.69747899159664,3058.0,27.0,1863.0,4632267.786590466,1744930.2658,42508411.77358462,13088691.88153213,True,-0.35626486743094166
CROUSDT,False,False,False,False,0.009994,False,False,37,version_shaile_v3_price_diff,0.005041,False,False,False,False,False,False,False,False,True,True,True,False,False,-0.006595,-0.006491,-1538.000701,-953.326284,False,False,False,False,False,301,304,313,win,-0.000443,-0.003905353758687357,0.09200715769082309,0.10114101577770748,0.12726515596333138,0.14349797466920153,0.1499828190264516,0.1541803815164486,0.15616130538284778,9.8318995,0.046757,0.010097,0.019034,False,-4.439029558215912,-6.828941014713585,True,False,False,True,False,True,False,16.070553650171448,21.62522958383734,False,True,False,False,False,False,926.4333333333333,494.04,24.870588235294118,2114.0,20.25,972.0,1677807.5459704415,1333082.2150,16948759.910110444,11541252.34566485,True,-0.7075739490625619
IDUSDT,False,False,False,False,0.006897,False,False,179,version_shaile_v3_price_diff,0.003098,False,False,False,False,False,False,False,False,True,True,True,False,False,-0.06991,-0.066552,-1545.674775,-954.861099,False,False,False,False,False,347,376,307,win,-0.01113,-0.012132632554915913,0.12272965576913622,0.13206828146269825,0.6784868277607953,0.869587529532573,0.9362443534069156,1.0828765707778023,1.2300749222315275,33.30301167,0.101241,0.008151,0.033291,False,-9.577608142493643,-6.973655114109012,False,False,False,False,False,False,False,12.062420919443284,20.943851499733412,False,True,False,False,False,False,922.6666666666666,472.7037037037037,26.376237623762375,2664.0,29.571428571428573,1449.0,7115425.72954121,2086709.9751,41007931.36931277,15139683.84161384,True,0.046085603617050275
BLURUSDT,False,False,False,False,0.006897,False,False,135,version_shaile_v3_price_diff,0.003098,False,False,False,False,False,False,False,False,True,True,True,False,False,-0.038806,-0.035793,-1545.674775,-954.861099,False,False,False,False,False,347,376,307,win,-0.053958,-0.014772897954267568,0.24905266106128693,0.3246064469386573,0.4087421112920247,0.5261055438929663,0.5538502855399923,0.6024901886755271,0.6077356629371643,30.54126075,0.046248,0.003847,0.051368,False,-13.714902807775376,-6.973655114109012,False,False,False,False,False,True,False,12.75579809004094,20.943851499733412,False,True,False,False,False,False,938.8387096774194,466.88,27.19148936170213,3834.0,31.328767123287673,2287.0,16726014.304468343,21292603.3995,56210001.62525901,48136507.35368992,True,-1.5084024755345595
MINAUSDT,False,False,False,False,0.009452,False,False,108,version_shaile_v3_price_diff,0.004731,False,False,False,False,False,False,False,False,True,True,True,False,False,-0.06922,-0.065271,-1538.000701,-953.326284,False,False,False,False,False,301,304,313,win,0.002212,-0.010154569056265144,0.5464650551478067,0.6670072451456027,0.833758438621306,1.0502004596499794,1.1052822881610622,1.2460356706664677,1.2648755717190194,32.04161222,0.092187,-0.0,0.008788,False,-9.218436873747503,-6.828941014713585,False,False,False,False,False,True,False,21.573261309925712,21.62522958383734,False,True,False,False,False,False,829.6,615.2692307692307,27.0078125,3457.0,27.356164383561644,1997.0,6249031.768253536,2193317.8707,30215678.993003327,16369363.05515529,True,-1.5814786547651654
NEARUSDT,False,False,False,False,0.009452,False,False,17,version_shaile_v3_price_diff,0.004731,False,False,False,False,False,False,False,False,True,True,True,False,False,-0.467703,-0.509626,-1550.094148,-955.744973,False,False,False,False,False,301,304,313,win,-0.033596,0.008607304292115694,5.003370551518032,5.353826793334769,6.6240151406433485,6.968971138237527,7.2177476642835545,7.738457647070182,8.087959803771971,31.1559621,0.070789,0.000423,0.000423,False,4.102961099283919,-7.056993587149629,False,False,False,True,False,True,False,32.876254180602004,20.546054005940093,False,True,False,False,False,False,857.4,580.5,31.46153846153846,4090.0,34.4,2580.0,146792719.03448808,91097278.4626,463796392.5513367,252604070.48129955,True,-0.1961030442636087
ACHUSDT,False,False,False,False,0.012329,False,False,254,version_shaile_v3_price_diff,0.006809,False,False,False,False,False,False,False,False,True,True,True,False,True,-0.001626,-0.001674,-1571.576769,-960.041497,False,False,False,False,False,291,281,322,win,-0.002932,0.006652190787402842,0.021993802842497825,0.023807205867024873,0.02958841611611462,0.033634032755652736,0.03535255360305138,0.03972991898925596,0.041359093442559246,0.4646241,0.064134,0.002102,0.002102,False,2.566411526339496,-7.462102807182747,True,False,False,True,False,True,False,37.359840954274375,20.007636841544425,False,True,False,False,False,False,847.7241379310345,656.8,28.23728813559322,3332.0,28.634146341463413,2348.0,4430493.903842219,1102535.2714,20297051.502753872,6105236.28434329,True,-0.5649634386044369
LDOUSDT,False,False,False,False,0.009328,False,False,43,version_shaile_v3_price_diff,0.004788,True,False,False,False,False,True,False,False,True,True,True,True,False,0.045503,0.019181,-1568.266228,-959.379389,False,False,False,False,False,272,248,279,lost,-0.042628,0.020656342240896537,1.6499617307980856,1.8340711585964475,2.1332831064034448,2.5739960639444326,2.776663541296995,2.9504337594327263,2.988297499724797,-182.9796285,0.119881,0.001009,0.064582,True,15.994962216624685,-7.399674167630666,False,False,False,False,False,False,False,59.46456692913388,20.08164211164292,False,True,False,False,False,True,977.2857142857143,515.074074074074,35.7962962962963,5799.0,35.10569105691057,4318.0,39760393.19712864,46549486.3597,125274128.17378177,158800632.15076038,True,0.38524042782220214
SSVUSDT,False,False,False,False,0.006116,False,False,149,version_shaile_v3_price_diff,-0.001052,False,False,False,False,False,False,False,False,True,True,True,False,False,-1.261479,-1.129392,-1555.638308,-956.853805,False,False,False,False,False,280,301,270,win,-0.027315,-0.0017841929165068105,34.986547489166256,36.547742970784505,43.15486533938835,48.98259278050176,52.212857182077016,59.46206950730543,60.235053209577295,33.4352,0.072317,0.004605,0.014618,False,-3.1334973455910964,-7.161542754592265,True,False,False,False,False,True,False,48.390529396115994,20.369031044894854,False,True,False,False,False,False,778.7096774193549,618.6666666666666,32.20979020979021,4606.0,30.431192660550458,3317.0,7816321.593369123,3975539.0232,40362501.21390498,19658889.16308008,True,-0.30442970549012305
GMXUSDT,False,False,False,False,0.013042,False,False,188,version_shaile_v3_price_diff,0.009254,False,False,False,False,False,False,False,False,True,True,True,False,False,-1.803501,-1.358441,-1562.674205,-958.260985,False,False,False,False,False,289,279,322,win,0.00193,-0.004953366020444051,24.321287578401115,25.824410642114852,31.153284465695403,39.52978744943668,41.14679097851282,45.463411238642784,45.91004773532643,31.825395,0.057479,0.002779,0.002779,False,-6.654676258992797,-7.294222417447516,True,False,False,True,False,True,False,20.63645130183224,20.20789983497167,False,True,False,False,False,False,814.3793103448276,645.7407407407408,28.856060606060606,3809.0,32.69230769230769,2975.0,7050217.094653019,3103330.8189,26307508.40868072,14421260.20126755,True,-0.27038020499378135
